,strong_aer,mid_aer,weak_aer,minus1_lb_aer
0,False,False,False,False
1,False,False,False,False
2,False,False,True,True
3,False,False,True,True
4,False,True,False,True
5,True,False,False,False
6,False,False,False,False
7,False,False,False,False
8,False,False,False,True
9,True,False,False,False
10,False,False,False,True
11,False,False,False,True
12,True,False,False,False
13,False,False,False,False
14,False,True,False,False
15,False,False,False,False
16,True,False,False,False
17,True,False,False,False
18,True,False,False,False
19,True,False,False,False
20,False,False,False,False
21,True,False,False,False
22,False,True,False,False
23,False,False,False,True
24,False,False,False,False
25,False,True,False,False
26,False,False,False,False
27,False,False,False,False
28,False,False,False,True
29,False,False,True,True
30,True,False,False,False
31,False,True,False,False
32,False,False,False,True
33,False,False,False,False
34,False,False,False,False
35,False,False,False,False
36,False,False,False,False
37,False,True,False,False
38,False,False,False,False
39,True,False,False,False
40,False,False,False,False
41,False,False,False,False
42,True,False,False,False
43,True,False,False,False
44,False,False,False,False
45,True,False,False,False
46,False,True,False,True
47,True,False,False,False
48,False,False,False,False
49,False,True,False,True
50,False,False,False,True
51,False,True,False,True
52,False,False,False,False
53,False,False,False,False
54,False,False,False,True
55,False,False,False,False
56,False,False,False,False
57,False,False,False,False
58,False,True,False,True
59,True,False,False,False
60,False,False,False,True
61,False,False,False,False
62,False,False,False,False
63,False,False,False,False
64,True,False,False,False
65,False,True,False,False
66,False,True,False,True
67,False,False,False,False
68,False,False,False,False
69,True,False,False,False
70,False,True,False,True
71,True,False,False,False
72,False,False,False,False
73,True,False,False,False
74,False,False,False,True
75,False,False,False,True
76,False,False,False,False
77,False,False,False,False
78,False,False,False,False
79,False,False,False,False
80,True,False,False,False
81,False,False,False,False
82,False,True,False,True
83,False,False,False,False
84,False,False,False,True
85,False,False,False,False
86,False,True,False,True
87,False,False,False,True
88,False,False,False,False
89,True,False,False,False
90,False,False,False,True
91,False,True,False,True
92,False,True,False,True
93,False,False,False,False
94,False,False,False,True
95,False,True,False,True
96,False,False,False,False
97,False,True,False,True
98,False,False,False,False
99,False,True,False,True
100,True,False,False,False
101,False,True,False,False
102,True,False,False,False
103,True,False,False,False
104,True,False,False,False
105,False,False,False,False
106,False,False,False,False
107,True,False,False,False
108,False,False,False,False
109,True,False,False,False
110,False,False,False,False
111,False,True,False,True
112,False,False,False,True
113,False,False,False,False
114,False,False,False,False
115,False,False,False,False
116,True,False,False,False
117,True,False,False,False
118,False,False,False,False
119,False,True,False,True
120,False,False,False,False
121,False,True,False,False
122,False,False,False,False
123,False,False,False,True
124,False,False,False,False
125,False,False,False,True
126,False,False,False,False
127,True,False,False,False
128,True,False,False,False
129,False,True,False,False
130,False,True,False,True
131,True,False,False,False
132,False,False,False,False
133,True,False,False,False
134,False,True,False,True
135,False,False,False,True
136,False,True,False,True
137,False,True,False,False
138,False,False,False,True
139,False,False,False,True
140,False,False,False,False
141,False,True,False,False
142,False,False,False,False
143,False,False,False,False
144,False,False,False,True
145,False,True,False,False
146,True,False,False,False
147,False,False,False,False
148,True,False,False,False
149,True,False,False,False
150,True,False,False,False
151,False,False,False,False
152,False,False,False,False
153,False,False,True,True
154,False,True,False,True
155,True,False,False,False
156,True,False,False,False
157,True,False,False,False
158,False,False,True,True
159,True,False,False,False
160,False,False,False,False
161,True,False,False,False
162,False,False,False,False
163,False,False,True,True
164,False,False,False,False
165,False,True,False,True
166,False,False,False,False
167,False,False,False,False
168,False,False,False,True
169,False,False,False,False
170,False,False,False,True
171,False,False,False,False
172,False,False,True,True
173,False,True,False,False
174,False,False,False,False
175,False,False,False,True
176,False,False,False,True
177,False,True,False,False
178,False,False,False,False
179,True,False,False,False
180,False,True,False,False
181,False,False,False,False
182,False,True,False,True
183,False,True,False,True
184,False,False,False,False
185,False,False,False,False
186,False,True,False,False
187,False,True,False,False
188,False,False,False,False
189,False,True,False,True
190,False,False,False,True
191,False,False,False,False
192,False,False,False,False
193,False,False,False,False
194,False,False,False,False
195,False,True,False,True
196,False,False,False,False
197,False,True,False,True
198,False,False,False,False
199,False,True,False,False
200,False,True,False,False
201,False,False,False,False
202,False,True,False,False
203,False,False,False,True
204,False,False,False,True
205,False,True,False,True
206,False,False,False,False
207,False,False,False,False
208,False,False,False,True
209,False,True,False,False
210,False,True,False,False
211,False,True,False,False
212,False,True,False,True
213,False,True,False,True
214,False,False,False,True
215,False,True,False,True
216,False,True,False,False
217,False,False,False,False
218,False,False,False,False
219,False,False,False,False
220,False,True,False,False
221,False,True,False,False
222,False,False,False,False
223,True,False,False,False
224,False,False,False,False
225,False,False,False,False
226,False,True,False,False
227,True,False,False,False
228,False,False,False,True
229,False,False,False,False
230,False,False,False,False
231,False,True,False,False
232,False,True,False,False
233,False,False,False,True
234,False,False,False,False
235,False,True,False,True
236,False,False,False,False
237,False,False,False,False
238,False,True,False,False
239,False,False,False,False
240,False,False,False,False
241,False,False,False,False
242,False,False,False,False
243,False,False,False,False
244,True,False,False,False
245,False,False,False,False
246,False,False,False,True
247,True,False,False,False
248,False,False,False,False
249,False,True,False,False
250,False,False,False,False
251,False,True,False,False
252,False,True,False,False
253,False,True,False,True
254,False,False,False,False
255,False,True,False,True
256,False,False,False,False
257,True,False,False,False
258,False,False,False,True
259,True,False,False,False
260,False,True,False,False
261,False,False,False,False
262,False,False,False,False
263,False,False,False,False
264,False,False,False,True
265,True,False,False,False
266,False,False,False,False
267,False,False,False,False
268,True,False,False,False
269,False,False,False,False
270,False,False,False,True
271,False,False,False,False
272,False,False,False,True
273,True,False,False,False
274,False,True,False,True
275,True,False,False,False
276,False,False,False,False
277,False,False,False,False
278,False,False,False,True
279,True,False,False,False
280,False,True,False,False
281,False,False,False,False
282,False,False,False,True
283,False,False,False,True
284,False,False,False,True
285,False,False,False,False
286,True,False,False,False
287,False,False,False,True
288,False,False,False,True
289,False,True,False,True
290,False,False,False,False
291,False,True,False,False
292,False,True,False,False
293,False,False,False,True
294,False,False,False,True
295,False,False,True,True
296,False,True,False,False
297,False,False,False,False
298,False,False,False,False
299,True,False,False,False
300,False,False,False,False
301,False,False,False,True
302,False,False,False,False
303,False,False,False,False
304,False,True,False,False
305,False,False,False,False
306,False,True,False,True
307,False,False,False,False
308,False,True,False,True
309,False,False,False,False
310,False,True,False,False
311,False,False,False,False
312,True,False,False,False
313,False,False,False,False
314,False,False,False,False
315,False,False,False,False
316,False,False,False,False
317,False,False,False,False
318,True,False,False,False
319,False,False,False,False
320,True,False,False,False
321,False,False,False,False
322,False,True,False,False
323,False,False,False,False
324,False,False,False,True
325,False,False,False,False
326,True,False,False,False
327,False,False,False,False
328,False,False,False,False
329,False,True,False,True
330,False,True,False,False
331,False,False,False,False
332,False,False,False,False
333,False,False,False,False
334,False,False,False,False
335,False,False,False,False
336,False,True,False,True
337,False,False,False,False
338,False,False,False,True
339,False,False,False,False
340,False,False,False,False
341,False,False,True,True
342,False,False,False,True
343,False,False,False,True
344,False,False,False,False
345,False,False,False,True
346,False,False,False,True
347,False,False,False,False
348,False,False,False,False
349,False,False,False,False
350,False,True,False,True
351,False,True,False,True
352,False,True,False,True
353,False,False,False,False
354,False,True,False,True
355,False,False,False,False
356,True,False,False,False
357,True,False,False,False
358,False,False,False,True
359,False,False,False,False
360,False,False,True,True
361,False,False,False,False
362,False,True,False,False
363,False,True,False,False
364,True,False,False,False
365,False,False,False,True
366,False,True,False,True
367,False,False,False,False
368,True,False,False,False
369,False,False,False,False
370,False,False,False,False
371,False,True,False,True
372,False,False,False,True
373,False,False,False,True
374,False,False,True,True
375,False,False,False,False
376,False,False,False,True
377,False,True,False,False
378,False,False,False,False
379,False,False,False,False
380,False,True,False,True
381,False,False,False,False
382,True,False,False,False
383,False,False,False,False
384,False,False,False,True
385,True,False,False,False
386,False,False,True,True
387,False,True,False,False
388,False,True,False,True
389,False,False,True,True
390,False,False,False,False
391,False,False,False,False
392,False,True,False,False
393,True,False,False,False
394,False,True,False,True
395,True,False,False,False
396,False,False,False,False
397,False,False,False,False
398,False,False,False,True
399,False,True,False,True
400,False,False,True,True
401,False,True,False,True
402,False,False,True,True
403,False,False,False,False
404,False,False,False,False
405,False,False,False,False
406,False,True,False,False
407,False,True,False,False
408,False,False,False,False
409,True,False,False,False
410,False,False,False,False
411,False,False,False,False
412,False,False,False,False
413,False,True,False,False
414,False,True,False,False
415,False,False,False,False
416,False,False,True,True
417,False,False,False,False
418,False,False,False,False
419,False,False,False,False
420,False,True,False,True
421,False,False,False,False
422,False,False,False,True
423,False,False,False,False
424,True,False,False,False
425,False,False,False,True
426,False,True,False,False
427,False,False,False,False
428,False,True,False,True
429,False,False,False,False
430,False,False,False,False
431,False,False,False,False
432,False,False,False,False
433,False,True,False,True
434,False,False,False,True
435,False,True,False,False
436,False,False,False,False
437,True,False,False,False
438,False,False,False,False
439,False,False,False,False
440,False,False,False,False
441,False,False,False,False
442,True,False,False,False
443,False,False,False,False
444,False,False,False,False
445,False,False,False,False
446,False,True,False,False
447,False,False,False,False
448,False,False,False,True
449,False,False,False,False
450,False,False,False,False
451,False,False,False,True
452,False,False,False,False
453,False,False,False,False
454,False,True,False,False
455,False,False,False,False
456,False,True,False,True
457,False,False,False,False
458,False,False,False,False
459,True,False,False,False
460,False,True,False,True
461,False,False,False,False
462,False,True,False,False
463,False,False,False,False
464,False,False,False,False
465,False,False,False,False
466,True,False,False,False
467,False,False,False,False
468,False,False,False,True
469,False,False,False,False
470,False,True,False,False
471,False,True,False,True
472,False,False,True,True
473,True,False,False,False
474,False,False,False,False
475,False,True,False,False
476,False,False,False,False
477,False,False,False,False
478,False,True,False,True
479,True,False,False,False
480,False,True,False,True
481,False,True,False,True
482,False,True,False,True
483,False,False,True,True
484,False,False,False,True
485,False,True,False,False
486,True,False,False,False
487,False,False,False,False
488,False,False,False,True
489,False,False,False,False
490,False,False,False,False
491,False,True,False,True
492,True,False,False,False
493,False,False,False,False
494,False,False,False,False
495,True,False,False,False
496,True,False,False,False
497,False,False,False,False
498,False,False,False,False
499,False,False,False,True
500,False,False,False,False
501,False,False,False,False
502,False,True,False,True
503,True,False,False,False
504,True,False,False,False
505,False,True,False,False
506,False,False,False,False
507,False,False,False,True
508,False,False,False,True
509,False,False,False,True
510,True,False,False,False
511,False,True,False,False
512,False,True,False,True
513,False,False,False,True
514,True,False,False,False
515,False,False,False,True
516,False,True,False,True
517,False,True,False,True
518,False,True,False,False
519,False,True,False,False
520,False,False,False,False
521,False,False,False,False
522,False,False,False,True
523,False,False,False,False
524,False,False,False,False
525,False,False,False,False
526,False,True,False,True
527,False,True,False,True
528,False,True,False,True
529,False,True,False,False
530,False,False,False,False
531,True,False,False,False
532,False,False,False,False
533,False,False,False,False
534,False,True,False,False
535,True,False,False,False
536,False,True,False,False
537,False,False,False,False
538,True,False,False,False
539,False,False,True,True
540,True,False,False,False
541,False,True,False,False
542,False,True,False,True
543,False,True,False,True
544,False,True,False,False
545,False,True,False,False
546,False,False,True,True
547,False,True,False,True
548,False,True,False,True
549,True,False,False,False
550,False,False,False,True
551,False,False,False,False
552,False,False,False,True
553,False,False,False,False
554,False,False,False,True
555,False,False,False,True
556,False,False,False,False
557,False,False,False,False
558,True,False,False,False
559,False,False,False,True
560,False,False,False,False
561,False,True,False,False
562,False,True,False,True
563,False,False,False,False
564,False,False,False,True
565,False,False,False,False
566,False,False,False,False
567,False,True,False,True
568,False,False,True,True
569,False,False,False,False
570,False,True,False,False
571,False,False,False,False
572,False,False,False,False
573,False,False,False,False
574,False,True,False,True
575,False,True,False,False
576,False,True,False,True
577,False,False,False,False
578,False,False,False,False
579,False,False,False,False
580,False,False,False,False
581,False,True,False,True
582,True,False,False,False
583,False,False,False,False
584,False,False,False,True
585,False,True,False,True
586,False,True,False,True
587,False,True,False,True
588,False,False,False,False
589,False,False,False,False
590,False,False,False,False
591,False,True,False,True
592,True,False,False,False
593,False,True,False,True
594,True,False,False,False
595,False,False,False,False
596,False,True,False,True
597,False,False,False,True
598,True,False,False,False
599,False,True,False,True
600,True,False,False,False
601,False,True,False,False
602,True,False,False,False
603,False,True,False,False
604,False,True,False,True
605,True,False,False,False
606,False,False,False,False
607,False,False,False,False
608,False,False,False,False
609,False,False,False,False
610,False,False,False,False
611,True,False,False,False
612,False,False,False,False
613,False,False,False,False
614,True,False,False,False
615,False,False,False,False
616,False,True,False,True
617,True,False,False,False
618,False,False,False,True
619,False,True,False,False
620,False,True,False,True
621,False,False,False,True
622,True,False,False,False
623,False,False,False,False
624,False,False,False,False
625,False,True,False,False
626,False,True,False,True
627,False,False,False,False
628,False,True,False,False
629,True,False,False,False
630,False,True,False,True
631,False,False,False,False
632,False,True,False,True
633,False,False,False,True
634,False,True,False,True
635,False,False,False,False
636,False,False,True,True
637,True,False,False,False
638,False,False,False,False
639,False,True,False,False
640,False,False,False,False
641,False,False,False,False
642,False,True,False,True
643,False,True,False,False
644,False,True,False,False
645,False,False,False,False
646,True,False,False,False
647,False,False,False,False
648,False,False,False,True
649,False,False,True,True
650,True,False,False,False
651,False,True,False,False
652,True,False,False,False
653,True,False,False,False
654,True,False,False,False
655,False,False,False,True
656,False,False,True,True
657,False,False,False,False
658,False,False,False,False
659,False,True,False,True
